,momentum_n,sharpe_n,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,days_traded,avg_trades_per_day,average_trade_length,average_active_trades,winning_trade_quant,losing_trade_quant,positive_trade_ratio,average_winning_trade_return,average_losing_trade_return,average_percent_return,final_cash,final_equity
106,60,80,-0.06413358324686691,1.840024706609018,-0.006614456818573422,0.15140074319912847,-0.04378024390761347,0.11016653428843459,-0.11678099110700801,-0.0003327573815946735,5076.733681928859,0.38600005252320113,-0.554042966211366,1712,2516,0.6804451510333863,6.724883177570093,4.751547668179942,725,987,42.348130841121495,0.02748682256564803,-0.018036081717745383,0.00124201735086456,9358.664167531331,9358.664167531331
107,60,90,0.7034588230530008,1.840024706609018,0.054779547204713674,0.1545771388199054,0.3549020251050651,0.11016653428843459,-0.05538698708372092,-9.51253490781493e-05,5270.810256015695,0.2990540734098178,0.17733625340438763,1620,2516,0.643879173290938,7.116049382716049,4.777455449647741,719,901,44.382716049382715,0.02938660665337554,-0.017757637551950478,0.003166258487326932,17034.588230530007,17034.588230530007
108,65,10,-0.24606399661930756,1.840024706609018,-0.027883494903884087,0.15329185757155456,-0.18199211939319318,0.11016653428843459,-0.13805002919231868,-0.00041112291960815155,4097.795996263126,0.3753981626404751,-0.7530886832088797,2682,2516,1.0659777424483308,4.212155108128263,4.633716160787531,1173,1509,43.73601789709172,0.023813329193221898,-0.01717532667048064,0.0007514791938456351,7539.360033806925,7539.360033806925
109,65,20,0.044863076861710205,1.840024706609018,0.004403666307558174,0.15210056005376948,0.028970299798150675,0.11016653428843459,-0.10576286798087642,-0.0002890846384943118,3213.720427444847,0.2873865819092246,-0.2949303463169457,2137,2516,0.8493640699523053,5.385119326158166,4.704824202780049,924,1213,43.238184370613006,0.026122116216758716,-0.017559609662415175,0.001327575509487808,10448.630768617102,10448.630768617102
110,65,30,0.6553579952202435,1.840024706609018,0.05175889718279225,0.16346198699967018,0.31675320278747104,0.11016653428843459,-0.05840763710564234,-0.0001272630894471842,3438.3287120885234,0.278115740163112,0.1781268388738546,1750,2516,0.6955484896661367,6.686285714285714,4.7837285363859365,752,998,42.971428571428575,0.03136335260247757,-0.018882424739654312,0.0027089035810789306,16553.579952202435,16553.579952202435
111,65,40,1.443693019976581,1.840024706609018,0.0935849691957038,0.15864447307919308,0.5901319445477877,0.11016653428843459,-0.016581565092730788,3.102677387969565e-05,6620.052837122574,0.2720542710255923,0.5759816461696996,1445,2516,0.5743243243243243,8.168166089965398,4.821486928104576,615,830,42.56055363321799,0.039306445994968395,-0.020634247800132507,0.004876843330654382,24436.930199765808,24436.930199765808
112,65,50,1.2904737863416904,1.840024706609018,0.08651801432855666,0.1674570516049345,0.5168703300891831,0.11016653428843459,-0.023648519959877934,-1.9119477143625017e-05,4406.140035522225,0.26480913472685186,0.5211335569288664,1142,2516,0.4538950715421304,10.46059544658494,4.879901960784314,473,669,41.41856392294221,0.04492176118045487,-0.02212072812884947,0.005647308161256442,22904.737863416904,22904.737863416904
113,65,60,1.6472369298176135,1.840024706609018,0.1023802781332046,0.1656489410250353,0.6187753472693023,0.11016653428843459,-0.007786256155229987,4.292221857004328e-05,4612.059024109483,0.227824219309552,0.7149733683672643,735,2516,0.2921303656597774,16.45034013605442,4.937117190690078,324,411,44.08163265306123,0.05495565540332564,-0.027043343427307357,0.009103154016400255,26472.369298176134,26472.369298176134
114,65,70,2.5564191999395507,1.840024706609018,0.1354532689360648,0.16756965429798065,0.8094896639659386,0.11016653428843459,0.025286734647630205,0.00015623079864846137,5094.96911289078,0.21255363384125558,1.0297941788842948,1243,2516,0.4940381558028617,9.520514883346742,4.846027846027846,555,688,44.65004022526146,0.04005846849338469,-0.018748771547954367,0.007508684785869585,35564.19199939551,35564.19199939551
115,65,80,0.8837997995652747,1.840024706609018,0.0654606176216792,0.1556400047077988,0.4212060545664627,0.11016653428843459,-0.044705916666755385,-6.532312924951105e-05,5132.840060559174,0.2824498425389429,0.30137847908482485,1506,2516,0.5985691573926868,7.706507304116866,4.776131687242798,628,878,41.699867197875164,0.03362970141654416,-0.01792342666949817,0.003574159278731963,18837.997995652746,18837.997995652746
116,65,90,0.817390239566623,1.840024706609018,0.06163890024178853,0.15808063769880337,0.39044060195482055,0.11016653428843459,-0.04852763404664606,-7.917181418206712e-05,7037.050601291916,0.3052292760577151,0.23322815626455906,1557,2516,0.6188394276629571,7.394990366088632,4.763756723210592,659,898,42.32498394348105,0.03349467933183433,-0.01869011863299792,0.0033970887265553566,18173.90239566623,18173.90239566623
